user_id,pages_viewed,time_spent,cart_additions,previous_purchases,total_sessions,session_duration,product_category,device_type,traffic_source,purchase
62,8,144,1,7,17,769,Home,Desktop,Referral,0
63,14,431,1,7,2,604,Electronics,Mobile,Email,1
64,8,430,4,2,18,809,Electronics,Mobile,Ads,1
65,16,195,1,6,16,454,Beauty,Tablet,Organic,0
66,13,373,2,6,12,444,Beauty,Tablet,Referral,1
67,18,387,2,1,10,799,Clothing,Desktop,Social Media,1
68,15,532,2,8,16,685,Beauty,Tablet,Referral,1
69,13,589,2,2,3,541,Books,Mobile,Email,1
70,9,205,4,1,8,414,Electronics,Desktop,Referral,0
71,15,107,3,2,2,417,Clothing,Desktop,Social Media,0
72,13,31,2,1,1,844,Electronics,Desktop,Ads,0
73,1,459,1,7,14,478,Sports,Mobile,Email,0
74,7,181,2,4,4,593,Sports,Tablet,Email,0
75,9,392,4,2,4,332,Clothing,Desktop,Email,1
76,1,143,1,4,9,128,Home,Mobile,Social Media,0
77,12,435,2,7,3,335,Books,Tablet,Email,1
78,8,34,3,6,5,586,Books,Desktop,Ads,0
79,11,512,1,5,1,71,Beauty,Tablet,Organic,1
80,19,194,1,0,19,497,Clothing,Tablet,Organic,0
81,17,94,3,9,1,469,Books,Tablet,Referral,1
82,8,576,1,0,10,356,Beauty,Mobile,Organic,1
83,3,153,2,0,12,598,Electronics,Desktop,Social Media,0
84,3,421,1,9,10,62,Home,Desktop,Organic,0
85,1,233,2,7,2,441,Beauty,Desktop,Social Media,0
86,5,229,3,7,16,655,Sports,Mobile,Social Media,0
87,10,188,0,6,8,841,Sports,Tablet,Referral,0
88,7,442,3,5,14,143,Electronics,Mobile,Organic,0
89,9,274,2,3,15,537,Clothing,Desktop,Referral,0
90,7,438,4,0,16,85,Beauty,Tablet,Email,0
91,9,425,3,8,11,585,Electronics,Mobile,Ads,1
92,8,462,4,0,12,753,Sports,Mobile,Organic,1
93,12,206,4,3,2,381,Sports,Mobile,Email,0
94,2,563,2,2,4,358,Sports,Mobile,Email,0
95,1,62,2,6,3,575,Home,Tablet,Referral,0
96,16,489,0,4,9,299,Home,Mobile,Referral,1
97,5,452,1,4,18,225,Sports,Tablet,Ads,0
98,3,339,3,3,19,442,Books,Mobile,Ads,0
99,12,260,2,0,7,666,Clothing,Desktop,Ads,0
100,8,132,3,4,4,108,Home,Mobile,Ads,0
101,3,396,4,3,6,796,Beauty,Mobile,Referral,0
102,1,348,1,9,19,686,Home,Desktop,Social Media,0
103,3,357,0,7,1,112,Beauty,Tablet,Referral,0
104,5,38,3,1,16,771,Home,Mobile,Social Media,0
105,15,44,1,7,11,166,Sports,Mobile,Referral,0
106,14,527,0,0,4,568,Beauty,Desktop,Referral,0
107,3,405,3,3,18,718,Clothing,Tablet,Ads,0
108,1,303,1,2,5,748,Home,Desktop,Social Media,0
109,5,598,2,4,6,335,Home,Mobile,Email,0
110,14,358,3,4,2,340,Sports,Tablet,Email,1
111,7,156,1,4,12,417,Beauty,Mobile,Email,0
112,9,76,0,3,9,754,Books,Desktop,Ads,0
113,15,529,1,7,12,895,Sports,Mobile,Email,1
114,15,131,2,2,13,578,Beauty,Desktop,Referral,0
115,10,349,3,3,17,535,Home,Desktop,Ads,0
116,13,184,3,0,5,417,Home,Tablet,Email,0
117,19,460,3,6,13,322,Home,Desktop,Ads,1
118,7,566,2,0,13,208,Home,Tablet,Referral,0
119,17,145,0,1,10,701,Electronics,Tablet,Ads,0
120,4,25,3,6,15,458,Home,Tablet,Email,0
121,5,342,0,0,15,553,Home,Tablet,Ads,0
122,7,204,1,2,18,710,Books,Tablet,Organic,0
123,13,505,0,5,18,341,Books,Desktop,Email,0
124,15,18,0,5,2,109,Beauty,Desktop,Referral,0
125,11,343,3,5,11,43,Home,Tablet,Social Media,0
126,4,342,4,1,13,83,Home,Desktop,Ads,0
127,13,336,4,1,11,476,Beauty,Tablet,Ads,0
128,7,24,2,5,4,795,Home,Desktop,Email,0
129,19,235,2,9,15,94,Home,Tablet,Email,1
130,2,434,4,4,11,401,Sports,Mobile,Organic,0
131,10,417,1,6,18,532,Electronics,Mobile,Referral,0
132,13,122,3,6,16,599,Beauty,Tablet,Ads,0
133,6,437,3,4,10,125,Sports,Desktop,Ads,0
134,12,10,1,7,12,562,Books,Tablet,Social Media,0
135,12,275,1,9,13,289,Clothing,Desktop,Ads,1
136,11,500,4,5,9,614,Clothing,Tablet,Ads,1
137,7,217,2,4,13,277,Books,Tablet,Organic,0
138,1,378,1,3,6,156,Electronics,Desktop,Social Media,0
139,1,315,2,6,6,528,Clothing,Desktop,Ads,0
140,13,21,0,3,11,75,Electronics,Tablet,Ads,0
141,9,354,3,4,19,297,Clothing,Mobile,Referral,0
142,3,474,4,4,11,669,Clothing,Mobile,Ads,0
143,7,503,3,0,10,571,Sports,Mobile,Organic,0
144,6,377,4,0,15,123,Clothing,Mobile,Ads,0
145,8,429,0,2,13,765,Books,Mobile,Ads,0
146,9,180,3,2,8,345,Electronics,Desktop,Email,0
147,5,143,0,1,5,641,Home,Mobile,Ads,0
148,1,436,4,1,2,100,Home,Desktop,Social Media,0
149,19,34,1,5,16,622,Home,Mobile,Email,0
150,10,539,3,0,13,478,Electronics,Desktop,Social Media,1
151,12,199,0,5,19,396,Electronics,Mobile,Social Media,0
152,15,150,3,4,9,841,Home,Mobile,Organic,0
153,9,564,3,5,15,649,Books,Desktop,Ads,1
154,17,324,3,4,6,643,Clothing,Desktop,Social Media,1
155,17,453,2,6,8,439,Home,Tablet,Ads,1
156,12,328,0,0,14,120,Beauty,Mobile,Ads,0
157,7,450,0,2,5,538,Electronics,Mobile,Organic,0
158,2,101,3,5,17,557,Beauty,Desktop,Organic,0
159,3,188,1,0,7,139,Beauty,Desktop,Social Media,0
160,17,65,3,6,9,804,Electronics,Mobile,Social Media,0
161,5,164,2,3,16,701,Home,Mobile,Email,0
162,17,120,4,2,18,794,Books,Desktop,Ads,0
163,17,146,2,9,13,118,Sports,Desktop,Ads,1
164,17,241,1,8,18,636,Beauty,Mobile,Organic,1
165,2,477,3,0,10,301,Home,Desktop,Organic,0
166,2,490,0,7,1,276,Sports,Desktop,Social Media,0
167,5,77,3,0,18,390,Beauty,Mobile,Email,0
168,1,258,1,4,19,407,Home,Tablet,Email,0
169,1,332,0,9,2,235,Beauty,Desktop,Organic,0
170,19,527,2,7,4,374,Home,Tablet,Organic,1
171,2,441,4,5,11,859,Books,Desktop,Email,0
172,12,496,4,6,3,827,Clothing,Tablet,Email,1
173,6,438,3,7,9,789,Clothing,Desktop,Social Media,1
174,4,278,2,5,10,484,Electronics,Tablet,Email,0
175,11,546,1,5,2,96,Sports,Tablet,Ads,1
176,17,157,4,5,7,587,Beauty,Desktop,Email,0
177,6,127,2,4,15,72,Beauty,Tablet,Referral,0
178,5,376,3,7,19,258,Home,Mobile,Email,1
179,2,75,0,1,10,842,Sports,Mobile,Organic,0
180,6,379,3,6,14,473,Beauty,Mobile,Organic,0
181,11,184,3,3,4,263,Sports,Tablet,Referral,0
182,16,597,2,0,11,228,Sports,Desktop,Ads,1
183,16,504,4,4,3,526,Clothing,Tablet,Email,1
184,1,123,2,2,17,877,Beauty,Desktop,Email,0
185,9,120,0,3,7,61,Beauty,Tablet,Referral,0
186,6,448,2,6,11,293,Electronics,Desktop,Social Media,0
187,16,156,1,4,18,142,Sports,Tablet,Social Media,0
188,3,44,3,3,14,859,Home,Tablet,Ads,0
189,4,318,4,0,14,488,Clothing,Mobile,Email,0
190,19,547,0,5,6,305,Electronics,Tablet,Email,1
191,3,23,3,9,9,175,Clothing,Mobile,Email,0
192,19,383,2,5,3,386,Home,Desktop,Organic,1
193,7,566,1,6,17,35,Electronics,Desktop,Social Media,0
194,9,437,2,0,12,369,Clothing,Mobile,Referral,0
195,1,242,3,3,4,523,Home,Tablet,Organic,0
196,8,572,0,8,16,137,Books,Desktop,Organic,1
197,7,449,4,9,10,801,Electronics,Tablet,Social Media,1
198,18,511,3,5,7,100,Home,Tablet,Email,1
199,8,284,0,1,10,369,Electronics,Tablet,Ads,0
200,1,85,3,3,7,703,Beauty,Desktop,Referral,0
201,11,448,1,5,18,129,Beauty,Desktop,Social Media,0
202,18,298,2,3,9,356,Clothing,Tablet,Ads,0
203,10,549,4,9,18,62,Sports,Mobile,Social Media,1
204,3,262,0,6,17,172,Books,Mobile,Social Media,0
205,7,135,4,2,11,273,Sports,Mobile,Social Media,0
206,16,186,4,5,1,765,Home,Tablet,Social Media,1
207,16,46,4,3,17,755,Electronics,Mobile,Email,0
208,17,419,0,2,4,661,Beauty,Desktop,Organic,0
209,2,136,0,2,4,709,Sports,Mobile,Social Media,0
210,1,492,4,1,14,890,Beauty,Mobile,Ads,0
211,16,177,2,2,9,246,Books,Tablet,Ads,0
212,12,303,3,9,13,463,Home,Desktop,Ads,1
213,5,352,4,0,16,896,Books,Desktop,Organic,0
214,5,319,1,2,1,863,Books,Mobile,Organic,0
215,9,537,4,8,3,758,Home,Tablet,Ads,1
216,9,549,0,3,19,83,Electronics,Tablet,Email,0
217,3,428,3,2,8,749,Books,Mobile,Organic,0
218,19,453,1,7,18,621,Sports,Desktop,Organic,1
219,16,567,3,0,6,180,Home,Desktop,Email,1
220,16,245,3,4,6,84,Home,Desktop,Social Media,1
221,3,448,1,0,5,546,Beauty,Tablet,Organic,0
222,1,223,4,6,12,477,Clothing,Mobile,Ads,0
223,11,94,4,4,9,64,Books,Tablet,Ads,0
224,17,94,4,1,9,890,Sports,Desktop,Email,0
225,8,498,2,0,17,148,Electronics,Tablet,Ads,0
226,4,74,4,6,19,226,Books,Desktop,Referral,0
227,6,73,1,0,17,595,Electronics,Mobile,Ads,0
228,8,352,2,2,16,800,Beauty,Desktop,Email,0
229,3,361,4,5,12,803,Books,Mobile,Email,0
230,16,167,2,5,3,884,Electronics,Tablet,Email,0
231,3,598,1,6,14,853,Books,Tablet,Referral,0
232,18,500,4,0,17,543,Home,Tablet,Organic,1
233,14,472,0,6,16,623,Books,Desktop,Social Media,0
234,18,234,1,1,12,891,Sports,Mobile,Ads,0
235,2,322,3,5,2,451,Books,Tablet,Organic,0
236,3,475,3,7,8,546,Electronics,Tablet,Email,0
237,16,97,1,4,12,715,Sports,Mobile,Organic,0
238,9,312,3,9,16,168,Electronics,Desktop,Organic,0
239,4,444,1,2,8,734,Clothing,Tablet,Referral,0
240,1,144,0,7,16,679,Clothing,Desktop,Email,0
241,4,59,1,7,10,838,Sports,Desktop,Email,0
242,1,441,4,3,15,657,Clothing,Desktop,Ads,0
243,14,349,4,7,4,73,Clothing,Tablet,Ads,1
244,16,356,2,4,15,887,Home,Tablet,Ads,1
245,8,356,3,4,4,830,Electronics,Mobile,Ads,0
246,7,254,3,2,11,248,Clothing,Mobile,Organic,0
247,3,118,1,6,6,597,Sports,Desktop,Organic,0
248,17,542,3,8,4,783,Home,Tablet,Ads,1
249,1,99,4,8,9,287,Clothing,Desktop,Ads,0
250,16,305,0,0,9,542,Books,Mobile,Ads,0
251,12,121,1,0,3,406,Sports,Desktop,Social Media,0
252,19,598,3,9,5,318,Electronics,Desktop,Ads,1
253,14,186,4,4,15,499,Books,Tablet,Social Media,1
254,6,352,2,0,9,132,Clothing,Desktop,Ads,0
255,6,110,3,3,2,833,Sports,Desktop,Email,0
256,13,410,0,0,3,178,Books,Tablet,Referral,0
257,19,37,0,1,12,113,Sports,Tablet,Organic,0
258,8,546,3,1,16,55,Beauty,Mobile,Email,0
259,2,67,3,3,5,204,Books,Tablet,Referral,0
260,1,507,4,7,10,764,Sports,Desktop,Social Media,1
261,15,306,3,1,15,670,Books,Mobile,Organic,0
262,1,143,2,8,14,451,Beauty,Mobile,Social Media,0
263,5,340,4,8,14,683,Electronics,Mobile,Social Media,1
264,16,258,1,1,13,375,Electronics,Mobile,Organic,0
265,19,559,2,0,16,331,Home,Desktop,Referral,1
266,4,84,4,9,8,327,Books,Desktop,Organic,0
267,3,177,4,9,8,164,Beauty,Desktop,Ads,0
268,17,512,0,8,17,84,Sports,Desktop,Social Media,1
269,17,364,4,1,17,85,Home,Mobile,Ads,0
270,12,234,2,7,3,403,Books,Desktop,Organic,1
271,14,540,3,2,1,617,Home,Mobile,Organic,0
272,6,155,2,0,17,860,Books,Tablet,Referral,0
273,3,250,1,0,16,368,Electronics,Desktop,Social Media,0
274,9,353,4,9,17,486,Sports,Tablet,Email,1
275,5,44,4,1,2,384,Beauty,Tablet,Organic,0
276,17,10,4,6,14,161,Electronics,Desktop,Email,0
277,14,162,4,5,7,522,Home,Mobile,Social Media,0
278,3,438,0,1,19,583,Clothing,Tablet,Ads,0
279,1,517,0,3,1,893,Home,Desktop,Social Media,0
280,1,135,3,1,17,139,Clothing,Tablet,Referral,0
281,3,500,4,0,10,611,Books,Tablet,Email,0
282,18,491,1,2,6,825,Electronics,Desktop,Email,1
283,10,354,3,3,7,155,Books,Tablet,Ads,0
284,3,230,4,9,6,889,Beauty,Mobile,Ads,0
285,8,34,0,4,5,325,Sports,Mobile,Organic,0
286,14,537,1,4,2,208,Clothing,Tablet,Social Media,1
287,18,191,3,6,18,839,Sports,Tablet,Referral,1
288,15,508,1,9,17,226,Books,Desktop,Organic,1
289,2,51,4,7,7,802,Electronics,Mobile,Social Media,0
290,10,490,2,8,19,130,Electronics,Tablet,Ads,1
291,2,448,1,6,7,602,Books,Mobile,Referral,0
292,17,411,1,4,7,212,Books,Tablet,Ads,1
293,8,555,0,8,16,838,Electronics,Desktop,Ads,0
294,1,354,4,7,12,38,Beauty,Desktop,Email,0
295,9,54,1,9,15,442,Clothing,Mobile,Social Media,0
296,11,30,4,8,15,747,Sports,Mobile,Organic,0
297,16,79,0,9,11,859,Home,Tablet,Email,0
298,7,57,4,7,2,595,Books,Tablet,Social Media,0
299,10,500,0,5,3,721,Books,Tablet,Social Media,0
300,3,560,0,3,19,133,Electronics,Mobile,Social Media,0
301,18,296,3,8,15,155,Sports,Desktop,Referral,1
302,13,19,4,8,16,575,Sports,Desktop,Email,0
303,7,551,2,9,1,706,Beauty,Mobile,Organic,1
304,4,283,3,9,15,839,Clothing,Desktop,Email,0
305,13,390,0,8,12,299,Beauty,Mobile,Ads,1
306,1,338,2,9,7,495,Beauty,Tablet,Social Media,0
307,8,488,1,2,7,830,Sports,Mobile,Ads,0
308,14,24,1,2,11,147,Clothing,Desktop,Email,0
309,16,525,3,5,11,895,Clothing,Mobile,Organic,1
310,14,200,2,5,17,121,Clothing,Mobile,Ads,0
311,12,177,4,5,3,641,Electronics,Mobile,Ads,0
312,19,530,2,4,16,514,Clothing,Mobile,Referral,1
313,15,146,3,4,5,116,Sports,Desktop,Email,1
314,2,163,4,1,2,263,Electronics,Tablet,Ads,0
315,2,397,4,6,7,153,Home,Desktop,Email,0
316,19,218,1,3,10,232,Books,Desktop,Organic,0
317,17,281,2,2,5,61,Beauty,Tablet,Ads,0
318,10,152,4,7,15,386,Clothing,Desktop,Organic,0
319,6,78,3,3,12,492,Home,Tablet,Ads,0
320,15,256,1,3,10,580,Clothing,Tablet,Social Media,0
321,11,270,4,7,17,123,Beauty,Mobile,Referral,1
322,5,88,2,0,11,551,Sports,Desktop,Referral,0
323,1,534,1,8,8,756,Sports,Tablet,Referral,1
324,8,339,2,6,15,437,Beauty,Desktop,Organic,0
325,12,198,2,1,2,129,Home,Desktop,Email,0
326,12,104,2,5,17,273,Electronics,Tablet,Referral,0
327,5,17,1,7,6,87,Books,Mobile,Ads,0
328,7,76,4,4,13,386,Books,Tablet,Ads,0
329,4,505,0,5,8,520,Books,Mobile,Social Media,0
330,6,200,4,9,11,349,Electronics,Tablet,Organic,1
331,13,375,1,7,15,48,Clothing,Tablet,Ads,1
332,15,530,0,5,13,386,Beauty,Mobile,Ads,1
333,3,126,0,8,18,146,Beauty,Mobile,Social Media,0
334,8,276,0,8,18,165,Electronics,Desktop,Social Media,0
335,16,494,3,8,17,868,Home,Tablet,Email,1
336,13,518,1,5,13,325,Books,Desktop,Email,1
337,18,307,3,8,3,554,Beauty,Desktop,Email,1
338,10,173,0,2,7,130,Sports,Mobile,Ads,0
339,19,385,3,4,12,409,Sports,Mobile,Social Media,1
340,17,277,3,1,4,184,Beauty,Desktop,Organic,0
341,19,558,1,7,11,623,Books,Mobile,Email,1
342,5,83,2,3,14,629,Books,Tablet,Referral,0
343,9,517,3,5,18,134,Books,Mobile,Ads,1
344,12,82,3,5,7,671,Home,Mobile,Organic,0
345,1,317,0,4,5,813,Sports,Tablet,Ads,0
346,1,208,0,0,16,555,Home,Mobile,Email,0
347,15,139,0,6,11,157,Electronics,Desktop,Ads,0
348,2,581,4,9,3,430,Clothing,Desktop,Email,1
349,16,496,3,7,16,601,Books,Desktop,Ads,1
350,8,160,0,0,11,768,Electronics,Mobile,Email,0
351,13,215,1,9,10,558,Clothing,Mobile,Social Media,1
352,1,188,4,6,2,586,Sports,Mobile,Social Media,0
353,16,206,2,3,16,579,Clothing,Desktop,Social Media,0
354,7,98,3,5,17,153,Clothing,Mobile,Social Media,0
355,5,443,3,8,10,389,Beauty,Tablet,Social Media,1
356,3,192,1,4,18,93,Clothing,Mobile,Referral,0
357,12,218,2,7,12,794,Beauty,Desktop,Ads,0
358,16,502,2,4,8,803,Clothing,Tablet,Social Media,1
359,19,139,4,1,3,653,Beauty,Tablet,Referral,1
360,5,22,3,3,3,131,Sports,Desktop,Referral,0
361,14,115,0,1,6,590,Sports,Tablet,Ads,0
362,5,384,1,6,2,306,Clothing,Tablet,Ads,0
363,15,591,1,6,3,256,Home,Tablet,Email,1
364,17,108,1,2,17,52,Sports,Tablet,Email,0
365,14,596,1,6,9,873,Electronics,Tablet,Social Media,0
366,5,201,0,0,4,726,Electronics,Mobile,Organic,0
367,12,334,0,0,2,93,Beauty,Desktop,Email,0
368,16,476,4,8,9,186,Home,Desktop,Organic,1
369,16,376,3,5,14,824,Books,Mobile,Email,1
370,7,327,0,4,11,419,Beauty,Mobile,Referral,0
371,4,153,4,5,2,178,Clothing,Desktop,Referral,0
372,1,393,2,5,2,868,Sports,Desktop,Referral,0
373,5,225,3,0,5,392,Home,Mobile,Organic,0
374,10,370,0,4,7,710,Beauty,Mobile,Social Media,0
375,5,333,2,8,4,493,Beauty,Tablet,Email,0
376,4,24,4,3,14,674,Electronics,Mobile,Email,0
377,2,226,0,2,2,428,Clothing,Mobile,Organic,0
378,10,501,0,0,12,434,Beauty,Tablet,Referral,0
379,19,556,2,1,10,855,Electronics,Tablet,Social Media,1
380,1,192,0,2,1,161,Home,Desktop,Email,0
381,5,279,1,3,19,226,Beauty,Desktop,Social Media,0
382,13,476,0,6,16,676,Books,Mobile,Social Media,0
383,4,528,3,5,15,64,Books,Tablet,Ads,0
384,16,551,2,7,14,449,Electronics,Tablet,Social Media,1
385,16,476,3,8,9,406,Books,Desktop,Ads,1
386,2,314,4,5,15,428,Clothing,Desktop,Organic,0
387,17,153,3,6,7,249,Sports,Mobile,Referral,0
388,12,120,1,3,4,726,Books,Tablet,Ads,0
389,18,241,1,1,18,546,Home,Desktop,Social Media,0
390,3,593,3,8,8,612,Beauty,Mobile,Referral,1
391,1,509,4,8,12,371,Electronics,Mobile,Social Media,1
392,1,563,0,3,15,782,Beauty,Mobile,Social Media,0
393,19,282,1,2,15,892,Sports,Desktop,Ads,0
394,11,182,3,9,17,445,Beauty,Desktop,Organic,0
395,5,16,3,5,2,485,Beauty,Desktop,Social Media,0
396,12,164,3,2,12,326,Electronics,Desktop,Ads,0
397,3,531,0,0,3,360,Sports,Desktop,Social Media,0
398,1,555,2,3,7,734,Home,Tablet,Referral,0
399,1,557,4,0,6,709,Electronics,Tablet,Organic,0
400,8,527,2,1,14,368,Sports,Tablet,Social Media,1
401,10,224,4,2,5,777,Sports,Tablet,Organic,0
402,11,143,4,7,4,835,Beauty,Mobile,Organic,0
403,12,294,3,9,15,327,Clothing,Mobile,Referral,1
404,13,135,1,3,7,789,Clothing,Tablet,Referral,0
405,12,448,3,3,3,706,Home,Desktop,Email,1
406,14,161,0,9,13,341,Beauty,Tablet,Organic,0
407,2,340,4,8,10,612,Clothing,Tablet,Social Media,0
408,19,547,1,6,2,772,Electronics,Mobile,Referral,1
409,18,392,4,1,12,84,Home,Desktop,Social Media,1
410,3,124,4,2,12,723,Beauty,Mobile,Organic,0
411,17,491,3,3,19,563,Books,Desktop,Referral,1
412,8,293,1,3,19,824,Electronics,Mobile,Email,0
413,10,84,1,9,3,134,Clothing,Tablet,Organic,0
414,2,175,4,7,6,204,Clothing,Desktop,Social Media,0
415,19,198,1,9,2,323,Clothing,Mobile,Email,1
416,9,87,1,9,13,580,Clothing,Tablet,Organic,0
417,7,30,3,5,9,404,Sports,Mobile,Referral,0
418,4,575,2,2,13,479,Books,Mobile,Organic,0
419,18,193,0,8,14,474,Home,Mobile,Ads,0
420,13,231,2,9,19,89,Home,Tablet,Social Media,1
421,11,337,1,7,11,421,Clothing,Desktop,Referral,0
422,4,188,4,8,14,841,Home,Mobile,Referral,0
423,4,121,0,4,16,840,Books,Tablet,Ads,0
424,10,68,0,2,10,419,Electronics,Mobile,Email,0
425,5,336,4,3,16,241,Electronics,Desktop,Referral,0
426,9,200,0,4,2,696,Home,Mobile,Email,0
427,3,209,4,8,16,714,Clothing,Tablet,Email,0
428,17,321,0,8,14,564,Beauty,Mobile,Email,1
429,3,44,2,2,18,269,Books,Mobile,Organic,0
430,16,388,0,6,6,517,Clothing,Desktop,Ads,0
431,4,396,3,5,7,750,Sports,Desktop,Social Media,0
432,18,246,4,3,13,151,Beauty,Desktop,Ads,1
433,17,528,0,4,2,282,Books,Mobile,Referral,1
434,7,292,4,9,15,170,Sports,Tablet,Ads,1
435,5,10,3,1,17,481,Home,Mobile,Social Media,0
436,12,473,0,6,13,881,Sports,Mobile,Organic,1
437,17,239,0,3,7,861,Home,Mobile,Referral,0
438,13,181,3,1,1,182,Sports,Mobile,Organic,0
439,3,96,3,5,3,755,Beauty,Desktop,Referral,0
440,9,562,3,1,18,337,Sports,Desktop,Social Media,0
441,17,132,4,9,7,589,Clothing,Desktop,Organic,1
442,17,307,3,1,17,346,Home,Desktop,Social Media,1
443,16,584,4,6,12,558,Electronics,Tablet,Social Media,1
444,13,493,2,0,16,325,Sports,Mobile,Ads,0
445,19,174,0,6,10,872,Home,Mobile,Referral,0
446,17,392,0,9,16,374,Electronics,Mobile,Email,1
447,4,218,1,4,18,610,Home,Tablet,Email,0
448,12,441,2,0,15,626,Home,Tablet,Organic,0
449,9,398,3,5,11,311,Electronics,Desktop,Social Media,0
450,19,569,3,6,18,237,Electronics,Mobile,Ads,1
451,12,233,2,0,6,581,Beauty,Mobile,Referral,0
452,9,12,3,8,1,125,Books,Tablet,Organic,0
453,7,381,1,6,7,481,Sports,Mobile,Social Media,1
454,14,455,4,0,12,791,Sports,Tablet,Email,1
455,19,125,0,2,4,402,Home,Desktop,Email,0
456,15,279,2,4,10,677,Clothing,Tablet,Referral,0
457,16,456,0,3,2,102,Clothing,Mobile,Referral,1
458,5,377,4,1,9,842,Books,Tablet,Referral,0
459,3,262,2,0,10,814,Home,Tablet,Organic,0
460,12,326,4,3,11,710,Beauty,Desktop,Referral,0
461,4,424,3,6,14,362,Electronics,Mobile,Organic,1
462,16,104,3,3,3,422,Home,Mobile,Ads,0
463,7,33,3,8,1,739,Sports,Desktop,Social Media,0
464,13,59,4,7,7,888,Clothing,Tablet,Email,0
465,10,511,4,7,4,135,Clothing,Tablet,Organic,1
466,7,507,4,4,7,130,Clothing,Mobile,Social Media,1
467,14,344,0,0,16,388,Beauty,Tablet,Referral,0
468,5,88,4,8,10,776,Sports,Desktop,Email,0
469,3,591,3,1,15,821,Beauty,Mobile,Organic,0
470,11,36,1,5,16,358,Electronics,Tablet,Referral,0
471,11,280,4,9,6,647,Home,Desktop,Social Media,1
472,18,571,1,4,4,424,Home,Desktop,Ads,1
473,15,256,3,9,4,64,Clothing,Mobile,Social Media,1
474,12,396,4,7,4,186,Clothing,Mobile,Organic,1
475,9,568,0,2,17,302,Electronics,Tablet,Ads,0
476,10,370,0,5,13,425,Beauty,Tablet,Ads,0
